plot_num,plot_type,replicate,sp_code,num_seeds_produced
755,L,2,BRMA,NA
755,L,3,BRMA,NA
755,L,4,BRMA,NA
755,L,5,BRMA,NA
740,L,1,CEME,1728
740,L,2,CEME,720
740,L,3,CEME,1152
740,L,4,CEME,NA
740,L,5,CEME,NA
741,L,1,CEME,1044
741,L,2,CEME,432
741,L,3,CEME,864
741,L,4,CEME,NA
741,L,5,CEME,NA
742,L,1,CEME,180
742,L,2,CEME,72
742,L,3,CEME,108
742,L,4,CEME,432
742,L,5,CEME,NA
743,L,1,CEME,36
743,L,2,CEME,36
743,L,3,CEME,144
743,L,4,CEME,144
743,L,5,CEME,180
744,L,1,CEME,972
744,L,2,CEME,1224
744,L,3,CEME,1008
744,L,4,CEME,360
744,L,5,CEME,144
745,L,1,CEME,NA
745,L,2,CEME,NA
745,L,3,CEME,NA
745,L,4,CEME,NA
745,L,5,CEME,NA
746,L,1,CEME,216
746,L,2,CEME,NA
746,L,3,CEME,NA
746,L,4,CEME,NA
746,L,5,CEME,NA
747,L,1,CEME,NA
747,L,2,CEME,NA
747,L,3,CEME,NA
747,L,4,CEME,NA
747,L,5,CEME,NA
748,L,1,CEME,NA
748,L,2,CEME,NA
748,L,3,CEME,NA
748,L,4,CEME,NA
748,L,5,CEME,NA
749,L,1,CEME,2592
749,L,2,CEME,6372
749,L,3,CEME,864
749,L,4,CEME,2736
749,L,5,CEME,3888
750,L,1,CEME,NA
750,L,2,CEME,NA
750,L,3,CEME,NA
750,L,4,CEME,NA
750,L,5,CEME,NA
751,L,1,CEME,NA
751,L,2,CEME,NA
751,L,3,CEME,NA
751,L,4,CEME,NA
751,L,5,CEME,NA
752,L,1,CEME,288
752,L,2,CEME,216
752,L,3,CEME,NA
752,L,4,CEME,NA
752,L,5,CEME,NA
753,L,1,CEME,1836
753,L,2,CEME,2736
753,L,3,CEME,612
753,L,4,CEME,3168
753,L,5,CEME,3348
754,L,1,CEME,3744
754,L,2,CEME,4788
754,L,3,CEME,3312
754,L,4,CEME,3888
754,L,5,CEME,2664
755,L,1,CEME,144
755,L,2,CEME,216
755,L,3,CEME,NA
755,L,4,CEME,NA
