plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
742,3,CHGL,99,90,90
742,3,CLBO,0,60,0
742,3,MEPO,8,40,8
742,3,AGHE,77,60,60
742,3,BRMA,24,60,24
742,4,HECO,3,60,3
742,4,VUMI,40,60,40
742,4,CEME,0,60,0
742,4,LOWR,9,60,9
742,4,LACA,20,100,20
742,4,SACO,20,60,20
742,4,PLER,7,60,7
742,4,CLPU,3,60,3
742,4,HOMU,19,60,19
742,4,EUPE,44,60,44
742,4,MICA,3,50,3
742,4,AMME,33,60,33
742,4,CHGL,70,90,70
742,4,CLBO,7,60,7
742,4,MEPO,6,40,6
742,4,AGHE,36,60,36
742,4,BRMA,16,60,16
742,5,HECO,9,60,9
742,5,VUMI,42,60,42
742,5,CEME,12,60,12
742,5,LOWR,10,60,10
742,5,LACA,6,100,6
742,5,SACO,30,60,30
742,5,PLER,12,60,12
742,5,CLPU,3,60,3
742,5,HOMU,28,60,28
742,5,EUPE,12,60,12
742,5,MICA,3,50,3
742,5,AMME,7,60,7
742,5,CHGL,47,90,47
742,5,CLBO,1,60,1
742,5,MEPO,8,40,8
742,5,AGHE,80,60,60
742,5,BRMA,22,60,22
743,1,HECO,4,60,4
743,1,VUMI,0,60,0
743,1,CEME,30,60,30
743,1,LOWR,2,60,2
743,1,LACA,16,100,16
743,1,SACO,1,60,1
743,1,PLER,24,60,24
743,1,CLPU,0,60,0
743,1,HOMU,32,60,32
743,1,EUPE,1,60,1
743,1,MICA,0,50,0
743,1,AMME,4,60,4
743,1,CHGL,82,90,82
743,1,CLBO,0,60,0
743,1,MEPO,0,40,0
743,1,AGHE,9,60,9
743,1,BRMA,30,60,30
743,2,HECO,1,60,1
743,2,VUMI,45,60,45
743,2,CEME,14,60,14
743,2,LOWR,0,60,0
743,2,LACA,32,100,32
743,2,SACO,6,60,6
743,2,PLER,8,60,8
743,2,CLPU,1,60,1
743,2,HOMU,24,60,24
743,2,EUPE,0,60,0
743,2,MICA,0,50,0
743,2,AMME,0,60,0
743,2,CHGL,11,90,11
743,2,CLBO,0,60,0
743,2,MEPO,2,40,2
743,2,AGHE,18,60,18
743,2,BRMA,16,60,16
743,3,HECO,2,60,2
743,3,VUMI,34,60,34
743,3,CEME,3,60,3
743,3,LOWR,3,60,3
743,3,LACA,37,100,37
743,3,SACO,0,60,0
743,3,PLER,11,60,11
743,3,CLPU,5,60,5
743,3,HOMU,31,60,31
743,3,EUPE,2,60,2
743,3,MICA,2,50,2
743,3,AMME,17,60,17
743,3,CHGL,66,90,66
743,3,CLBO,0,60,0
743,3,MEPO,0,40,0
743,3,AGHE,26,60,26
743,3,BRMA,31,60,31
743,4,HECO,0,60,0
743,4,VUMI,51,60,51
743,4,CEME,7,60,7
743,4,LOWR,3,60,3
743,4,LACA,17,100,17
743,4,SACO,0,60,0
743,4,PLER,16,60,16
743,4,CLPU,6,60,6
743,4,HOMU,28,60,28
743,4,EUPE,1,60,1
743,4,MICA,6,50,6
743,4,AMME,1,60,1
743,4,CHGL,66,90,66
743,4,CLBO,2,60,2
743,4,MEPO,0,40,0
743,4,AGHE,19,60,19
743,4,BRMA,19,60,19
743,5,HECO,5,60,5
743,5,VUMI,2,60,2
743,5,CEME,4,60,4
743,5,LOWR,0,60,0
743,5,LACA,18,100,18
743,5,SACO,0,60,0
743,5,PLER,21,60,21
743,5,CLPU,0,60,0
743,5,HOMU,19,60,19
